id,grado,nivel,scores,tiempo,resultado,juego
195,1,3,26,36,NO APRENDIO,2
196,2,1,5,37,NO APRENDIO,2
197,1,3,14,7,NO APRENDIO,2
198,2,3,13,32,NO APRENDIO,2
199,3,3,9,34,APRENDIO,2
200,4,1,5,47,NO APRENDIO,2
201,6,1,19,39,NO APRENDIO,2
202,4,1,8,7,NO APRENDIO,2
203,2,3,23,1,NO APRENDIO,2
204,1,3,4,25,APRENDIO,2
205,3,3,17,48,NO APRENDIO,2
206,1,2,23,15,NO APRENDIO,2
207,1,3,24,9,NO APRENDIO,2
208,3,2,14,40,NO APRENDIO,2
209,4,1,4,7,APRENDIO,2
210,2,1,28,48,NO APRENDIO,2
211,4,3,30,17,NO APRENDIO,2
212,5,3,8,21,APRENDIO,2
213,5,3,17,3,NO APRENDIO,2
214,5,3,16,23,NO APRENDIO,2
215,3,2,3,47,NO APRENDIO,2
216,2,1,2,15,APRENDIO,2
217,6,3,25,43,NO APRENDIO,2
218,6,3,22,17,NO APRENDIO,2
219,1,2,15,16,NO APRENDIO,2
220,5,1,18,35,NO APRENDIO,2
221,3,1,14,28,NO APRENDIO,2
222,4,1,5,50,NO APRENDIO,2
223,5,1,26,2,NO APRENDIO,2
224,2,3,1,3,APRENDIO,2
225,6,1,2,11,APRENDIO,2
226,3,2,23,37,NO APRENDIO,2
227,3,3,12,35,NO APRENDIO,2
228,3,1,30,2,NO APRENDIO,2
229,2,1,10,22,NO APRENDIO,2
230,6,3,3,46,NO APRENDIO,2
231,4,2,18,48,NO APRENDIO,2
232,6,3,3,34,APRENDIO,2
233,6,2,6,14,NO APRENDIO,2
234,2,2,15,50,NO APRENDIO,2
235,5,3,16,19,NO APRENDIO,2
236,2,3,4,22,APRENDIO,2
237,6,2,24,40,NO APRENDIO,2
238,1,3,29,35,NO APRENDIO,2
239,5,3,6,7,APRENDIO,2
240,4,2,25,37,NO APRENDIO,2
241,3,3,20,28,NO APRENDIO,2
242,4,3,14,23,NO APRENDIO,2
243,6,1,27,15,NO APRENDIO,2
244,4,2,19,47,NO APRENDIO,2
245,1,2,4,33,NO APRENDIO,2
246,1,1,16,15,NO APRENDIO,2
247,3,3,10,2,NO APRENDIO,2
248,4,3,13,48,NO APRENDIO,2
249,1,1,18,2,NO APRENDIO,2
250,1,3,11,29,NO APRENDIO,2
251,3,3,20,12,NO APRENDIO,2
252,1,3,4,43,NO APRENDIO,2
253,4,3,20,10,NO APRENDIO,2
254,5,2,6,19,NO APRENDIO,2
255,4,1,29,12,NO APRENDIO,2
256,4,1,6,31,NO APRENDIO,2
257,1,2,15,30,NO APRENDIO,2
258,2,3,14,27,NO APRENDIO,2
259,1,1,11,9,NO APRENDIO,2
260,2,3,17,36,NO APRENDIO,2
261,4,2,1,18,APRENDIO,2
262,5,1,22,31,NO APRENDIO,2
263,3,1,1,46,NO APRENDIO,2
264,5,2,19,1,NO APRENDIO,2
265,2,2,15,23,NO APRENDIO,2
266,6,3,25,5,NO APRENDIO,2
267,4,2,18,12,NO APRENDIO,2
268,4,2,3,19,APRENDIO,2
269,1,1,3,43,NO APRENDIO,2
270,3,2,29,15,NO APRENDIO,2
271,4,3,15,20,NO APRENDIO,2
272,2,1,14,14,NO APRENDIO,2
273,3,3,10,11,NO APRENDIO,2
274,4,2,2,39,NO APRENDIO,2
275,5,1,28,10,NO APRENDIO,2
276,1,2,1,15,APRENDIO,2
277,1,1,18,18,NO APRENDIO,2
278,1,2,7,45,NO APRENDIO,2
279,1,1,30,19,NO APRENDIO,2
280,6,3,12,11,NO APRENDIO,2
281,6,1,24,19,NO APRENDIO,2
282,1,1,8,22,NO APRENDIO,2
283,2,3,29,12,NO APRENDIO,2
284,6,3,12,27,NO APRENDIO,2
285,4,3,7,24,APRENDIO,2
286,1,1,4,5,APRENDIO,2
287,4,2,29,20,NO APRENDIO,2
288,6,2,21,19,NO APRENDIO,2
289,4,3,16,34,NO APRENDIO,2
290,5,3,27,23,NO APRENDIO,2
291,3,2,23,21,NO APRENDIO,2
292,2,2,8,5,NO APRENDIO,2
293,2,3,5,48,NO APRENDIO,2
294,1,2,3,37,NO APRENDIO,2
295,4,1,10,50,NO APRENDIO,2
296,6,1,10,17,NO APRENDIO,2
297,1,3,22,20,NO APRENDIO,2
298,2,3,23,38,NO APRENDIO,2
299,5,2,23,38,NO APRENDIO,2
300,1,3,22,6,NO APRENDIO,2
301,6,2,22,35,NO APRENDIO,2
302,5,1,26,15,NO APRENDIO,2
303,6,1,13,45,NO APRENDIO,2
304,2,3,2,30,APRENDIO,2
305,4,2,19,26,NO APRENDIO,2
306,1,1,13,39,NO APRENDIO,2
307,5,3,16,6,NO APRENDIO,2
308,6,1,29,39,NO APRENDIO,2
309,1,3,21,15,NO APRENDIO,2
310,6,3,9,12,APRENDIO,2
311,6,1,14,48,NO APRENDIO,2
312,4,2,8,33,NO APRENDIO,2
313,1,3,6,6,APRENDIO,2
314,6,2,27,30,NO APRENDIO,2
315,2,2,22,35,NO APRENDIO,2
316,2,3,29,12,NO APRENDIO,2
317,4,1,18,24,NO APRENDIO,2
318,1,2,19,38,NO APRENDIO,2
319,5,2,4,3,APRENDIO,2
320,2,2,16,18,NO APRENDIO,2
321,6,1,18,23,NO APRENDIO,2
322,4,1,7,2,NO APRENDIO,2
323,2,2,25,19,NO APRENDIO,2
324,4,2,21,44,NO APRENDIO,2
325,6,2,26,18,NO APRENDIO,2
326,6,1,11,29,NO APRENDIO,2
327,1,3,17,31,NO APRENDIO,2
328,4,3,4,27,APRENDIO,2
329,4,3,18,1,NO APRENDIO,2
330,6,1,14,25,NO APRENDIO,2
331,2,3,1,27,APRENDIO,2
332,3,1,11,2,NO APRENDIO,2
333,4,3,17,36,NO APRENDIO,2
334,1,3,23,6,NO APRENDIO,2
335,1,1,5,10,NO APRENDIO,2
336,2,2,18,47,NO APRENDIO,2
337,6,1,3,48,NO APRENDIO,2
338,1,1,19,10,NO APRENDIO,2
339,5,2,11,3,NO APRENDIO,2
340,6,1,4,23,NO APRENDIO,2
341,4,3,22,15,NO APRENDIO,2
342,6,3,17,24,NO APRENDIO,2
343,4,3,17,6,NO APRENDIO,2
344,6,2,12,28,NO APRENDIO,2
345,4,2,10,29,NO APRENDIO,2
346,4,1,16,45,NO APRENDIO,2
347,4,2,16,43,NO APRENDIO,2
348,6,1,28,46,NO APRENDIO,2
349,1,1,17,9,NO APRENDIO,2
350,2,3,24,16,NO APRENDIO,2
351,4,1,14,27,NO APRENDIO,2
352,3,1,26,8,NO APRENDIO,2
353,4,1,21,46,NO APRENDIO,2
354,3,2,7,30,NO APRENDIO,2
355,1,1,27,3,NO APRENDIO,2
356,6,1,9,45,NO APRENDIO,2
357,6,3,4,17,APRENDIO,2
358,3,2,2,33,NO APRENDIO,2
359,2,3,3,33,APRENDIO,2
360,2,1,23,10,NO APRENDIO,2
361,1,3,16,38,NO APRENDIO,2
362,2,1,5,29,NO APRENDIO,2
363,5,2,4,6,APRENDIO,2
364,5,2,14,50,NO APRENDIO,2
365,3,3,13,37,NO APRENDIO,2
366,6,2,2,35,NO APRENDIO,2
367,4,3,22,35,NO APRENDIO,2
368,3,1,3,38,NO APRENDIO,2
369,3,3,18,12,NO APRENDIO,2
370,4,3,23,34,NO APRENDIO,2
371,2,3,14,5,NO APRENDIO,2
372,2,2,20,48,NO APRENDIO,2
373,6,3,28,13,NO APRENDIO,2
374,6,1,2,20,NO APRENDIO,2
375,6,3,12,2,NO APRENDIO,2
376,3,1,29,36,NO APRENDIO,2
377,5,2,23,49,NO APRENDIO,2
378,1,3,3,18,APRENDIO,2
379,3,1,1,37,NO APRENDIO,2
380,2,3,6,37,NO APRENDIO,2
381,2,3,23,3,NO APRENDIO,2
382,1,1,22,26,NO APRENDIO,2
383,1,2,26,33,NO APRENDIO,2
384,4,2,23,12,NO APRENDIO,2
385,1,3,29,8,NO APRENDIO,2
386,2,1,14,45,NO APRENDIO,2
387,2,1,2,5,APRENDIO,2
388,2,2,26,37,NO APRENDIO,2
389,2,2,11,13,NO APRENDIO,2
390,3,1,8,19,NO APRENDIO,2
391,5,1,6,45,NO APRENDIO,2
392,5,3,27,3,NO APRENDIO,2
393,5,1,6,17,NO APRENDIO,2
394,5,2,23,36,NO APRENDIO,2
395,3,1,25,18,NO APRENDIO,2
396,4,3,27,46,NO APRENDIO,2
397,5,3,30,48,NO APRENDIO,2
398,3,2,29,42,NO APRENDIO,2
399,3,1,27,21,NO APRENDIO,2
400,6,2,30,23,NO APRENDIO,2
401,2,1,5,38,NO APRENDIO,2
402,1,2,17,36,NO APRENDIO,2
403,4,3,28,39,NO APRENDIO,2
404,2,2,8,43,NO APRENDIO,2
405,2,3,30,47,NO APRENDIO,2
406,6,2,6,36,NO APRENDIO,2
407,4,1,8,42,NO APRENDIO,2
408,2,1,7,1,NO APRENDIO,2
409,4,2,19,2,NO APRENDIO,2
410,3,3,4,39,NO APRENDIO,2
411,4,3,1,27,APRENDIO,2
412,2,1,21,13,NO APRENDIO,2
413,2,1,29,35,NO APRENDIO,2
414,2,2,27,39,NO APRENDIO,2
415,1,3,19,21,NO APRENDIO,2
416,3,3,29,36,NO APRENDIO,2
417,2,1,10,22,NO APRENDIO,2
418,4,2,3,43,NO APRENDIO,2
419,6,2,29,42,NO APRENDIO,2
420,1,2,17,50,NO APRENDIO,2
421,4,3,30,13,NO APRENDIO,2
422,2,2,9,45,NO APRENDIO,2
423,2,2,8,2,NO APRENDIO,2
424,6,3,30,37,NO APRENDIO,2
425,2,1,16,41,NO APRENDIO,2
426,4,2,5,35,NO APRENDIO,2
427,3,1,24,2,NO APRENDIO,2
428,1,2,3,37,NO APRENDIO,2
429,6,3,28,13,NO APRENDIO,2
430,4,3,9,43,NO APRENDIO,2
431,4,1,6,39,NO APRENDIO,2
432,4,1,24,27,NO APRENDIO,2
433,2,1,29,10,NO APRENDIO,2
434,6,1,5,49,NO APRENDIO,2
435,4,1,28,36,NO APRENDIO,2
436,1,2,22,37,NO APRENDIO,2
437,3,3,6,13,APRENDIO,2
438,1,2,25,25,NO APRENDIO,2
439,2,3,17,47,NO APRENDIO,2
440,4,2,27,16,NO APRENDIO,2
441,4,3,22,36,NO APRENDIO,2
442,4,3,15,40,NO APRENDIO,2
443,3,1,16,40,NO APRENDIO,2
444,2,1,27,47,NO APRENDIO,2
445,5,2,9,15,NO APRENDIO,2
446,3,2,10,43,NO APRENDIO,2
447,3,3,28,29,NO APRENDIO,2
448,6,1,12,3,NO APRENDIO,2
449,6,1,10,32,NO APRENDIO,2
450,4,1,23,8,NO APRENDIO,2
451,2,3,12,7,NO APRENDIO,2
452,4,1,18,6,NO APRENDIO,2
453,6,2,2,44,NO APRENDIO,2
454,1,2,9,11,NO APRENDIO,2
455,6,2,7,4,NO APRENDIO,2
456,2,1,8,37,NO APRENDIO,2
457,1,2,6,28,NO APRENDIO,2
458,5,1,27,23,NO APRENDIO,2
459,3,3,8,43,NO APRENDIO,2
460,3,1,10,8,NO APRENDIO,2
461,4,2,4,10,APRENDIO,2
462,3,1,9,12,NO APRENDIO,2
463,3,1,11,22,NO APRENDIO,2
464,1,3,8,3,APRENDIO,2
465,5,2,21,17,NO APRENDIO,2
466,1,1,25,4,NO APRENDIO,2
467,6,2,20,46,NO APRENDIO,2
468,3,2,25,39,NO APRENDIO,2
469,2,2,15,9,NO APRENDIO,2
470,2,1,19,5,NO APRENDIO,2
471,4,2,24,17,NO APRENDIO,2
472,5,3,12,22,NO APRENDIO,2
473,4,1,23,1,NO APRENDIO,2
474,5,1,9,10,NO APRENDIO,2
475,2,1,23,28,NO APRENDIO,2
476,2,3,25,27,NO APRENDIO,2
477,4,1,4,3,APRENDIO,2
478,6,3,28,37,NO APRENDIO,2
479,4,1,23,49,NO APRENDIO,2
480,2,3,12,43,NO APRENDIO,2
481,4,2,11,39,NO APRENDIO,2
482,2,2,22,46,NO APRENDIO,2
483,3,3,16,8,NO APRENDIO,2
484,3,1,10,31,NO APRENDIO,2
485,1,3,5,38,NO APRENDIO,2
486,6,1,26,17,NO APRENDIO,2
487,5,1,15,2,NO APRENDIO,2
488,2,2,13,45,NO APRENDIO,2
489,2,2,17,43,NO APRENDIO,2
490,4,1,2,30,NO APRENDIO,2
491,3,1,14,23,NO APRENDIO,2
492,6,3,4,24,APRENDIO,2
493,6,3,16,17,NO APRENDIO,2
494,2,3,27,41,NO APRENDIO,2
495,3,2,15,50,NO APRENDIO,2
496,4,1,19,30,NO APRENDIO,2
497,6,1,6,35,NO APRENDIO,2
498,6,2,27,37,NO APRENDIO,2
499,3,1,29,43,NO APRENDIO,2
500,3,1,14,21,NO APRENDIO,2
501,6,1,3,12,APRENDIO,2
502,5,2,1,21,APRENDIO,2
503,1,3,14,38,NO APRENDIO,2
504,4,2,22,4,NO APRENDIO,2
505,1,1,20,22,NO APRENDIO,2
506,2,2,4,38,NO APRENDIO,2
507,4,1,17,11,NO APRENDIO,2
508,6,2,3,8,APRENDIO,2
509,5,1,1,45,NO APRENDIO,2
510,1,3,27,13,NO APRENDIO,2
511,6,2,16,3,NO APRENDIO,2
512,1,1,24,45,NO APRENDIO,2
513,3,2,18,8,NO APRENDIO,2
514,6,3,6,44,NO APRENDIO,2
515,6,1,9,5,NO APRENDIO,2
516,3,1,7,12,NO APRENDIO,2
517,1,3,12,26,NO APRENDIO,2
518,2,2,25,23,NO APRENDIO,2
519,5,2,15,5,NO APRENDIO,2
520,4,1,22,19,NO APRENDIO,2
521,1,3,28,42,NO APRENDIO,2
522,2,1,15,10,NO APRENDIO,2
523,4,1,11,7,NO APRENDIO,2
524,4,1,11,22,NO APRENDIO,2
525,6,2,4,39,NO APRENDIO,2
526,4,2,12,35,NO APRENDIO,2
527,6,3,8,4,APRENDIO,2
528,1,2,2,28,NO APRENDIO,2
529,6,3,12,35,NO APRENDIO,2
530,5,1,15,18,NO APRENDIO,2
531,2,2,6,5,NO APRENDIO,2
532,1,2,24,24,NO APRENDIO,2
533,3,1,15,43,NO APRENDIO,2
534,4,1,19,20,NO APRENDIO,2
535,3,3,4,14,APRENDIO,2
536,2,2,5,25,APRENDIO,2
537,3,1,7,25,NO APRENDIO,2
538,5,3,5,11,APRENDIO,2
539,2,1,21,37,NO APRENDIO,2
540,1,1,13,39,NO APRENDIO,2
541,1,2,24,7,NO APRENDIO,2
542,2,3,14,29,NO APRENDIO,2
543,3,1,19,10,NO APRENDIO,2
544,1,2,10,46,NO APRENDIO,2
545,6,3,20,9,NO APRENDIO,2
546,6,3,16,37,NO APRENDIO,2
547,3,3,16,23,NO APRENDIO,2
548,5,3,4,5,APRENDIO,2
549,5,3,26,42,NO APRENDIO,2
550,2,2,1,49,NO APRENDIO,2
551,1,3,27,38,NO APRENDIO,2
552,2,3,16,8,NO APRENDIO,2
553,1,2,21,9,NO APRENDIO,2
554,5,3,15,37,NO APRENDIO,2
555,5,1,28,19,NO APRENDIO,2
556,4,1,7,25,NO APRENDIO,2
557,1,3,5,19,APRENDIO,2
558,5,1,7,46,NO APRENDIO,2
559,5,3,9,15,APRENDIO,2
560,6,2,29,37,NO APRENDIO,2
561,1,3,16,12,NO APRENDIO,2
562,1,2,14,39,NO APRENDIO,2
563,6,2,28,41,NO APRENDIO,2
564,1,3,14,10,NO APRENDIO,2
565,2,2,7,12,NO APRENDIO,2
566,4,1,5,17,NO APRENDIO,2
567,1,2,30,11,NO APRENDIO,2
568,6,2,9,30,NO APRENDIO,2
569,2,1,23,33,NO APRENDIO,2
570,3,2,6,24,NO APRENDIO,2
571,5,2,4,27,NO APRENDIO,2
572,5,2,3,24,APRENDIO,2
573,5,1,11,24,NO APRENDIO,2
574,5,2,30,30,NO APRENDIO,2
575,4,1,29,36,NO APRENDIO,2
576,2,1,7,23,NO APRENDIO,2
577,5,1,8,12,NO APRENDIO,2
578,1,3,7,13,APRENDIO,2
579,5,3,3,22,APRENDIO,2
580,5,3,1,29,APRENDIO,2
581,3,1,21,40,NO APRENDIO,2
582,1,2,18,36,NO APRENDIO,2
583,6,3,16,43,NO APRENDIO,2
584,3,3,27,1,NO APRENDIO,2
585,5,1,18,42,NO APRENDIO,2
586,2,2,9,39,NO APRENDIO,2
587,4,1,24,28,NO APRENDIO,2
588,4,3,2,15,APRENDIO,2
589,4,3,5,38,NO APRENDIO,2
590,5,2,12,31,NO APRENDIO,2
591,4,2,29,39,NO APRENDIO,2
592,1,1,27,40,NO APRENDIO,2
593,4,3,26,13,NO APRENDIO,2
594,6,2,15,13,NO APRENDIO,2
595,4,2,27,13,NO APRENDIO,2
596,2,2,21,16,NO APRENDIO,2
597,3,2,26,37,NO APRENDIO,2
598,6,1,11,46,NO APRENDIO,2
599,6,2,3,21,APRENDIO,2
600,6,1,24,43,NO APRENDIO,2
601,1,3,18,46,NO APRENDIO,2
602,5,1,18,3,NO APRENDIO,2
603,4,2,25,7,NO APRENDIO,2
604,4,1,9,36,NO APRENDIO,2
605,2,2,13,4,NO APRENDIO,2
606,2,1,7,2,NO APRENDIO,2
607,6,3,11,24,NO APRENDIO,2
608,2,2,20,43,NO APRENDIO,2
609,6,2,19,4,NO APRENDIO,2
610,1,3,10,35,NO APRENDIO,2
611,4,3,22,8,NO APRENDIO,2
612,1,1,9,43,NO APRENDIO,2
613,4,3,26,38,NO APRENDIO,2
614,6,2,6,45,NO APRENDIO,2
615,1,1,14,6,NO APRENDIO,2
616,6,2,28,48,NO APRENDIO,2
617,2,1,13,20,NO APRENDIO,2
618,3,3,7,45,NO APRENDIO,2
619,1,3,6,42,NO APRENDIO,2
620,5,3,2,22,APRENDIO,2
621,6,1,25,27,NO APRENDIO,2
622,3,2,10,7,NO APRENDIO,2
623,1,3,9,27,APRENDIO,2
624,5,1,21,2,NO APRENDIO,2
625,3,3,12,42,NO APRENDIO,2
626,4,2,15,22,NO APRENDIO,2
627,6,1,6,41,NO APRENDIO,2
628,4,3,15,11,NO APRENDIO,2
629,5,3,12,16,NO APRENDIO,2
630,4,1,5,13,NO APRENDIO,2
631,4,3,27,38,NO APRENDIO,2
632,1,1,20,17,NO APRENDIO,2
633,2,1,12,34,NO APRENDIO,2
634,6,2,10,29,NO APRENDIO,2
635,4,2,15,47,NO APRENDIO,2
636,5,3,23,44,NO APRENDIO,2
637,2,3,7,16,APRENDIO,2
638,6,3,18,14,NO APRENDIO,2
639,6,2,3,23,APRENDIO,2
640,3,2,22,43,NO APRENDIO,2
641,5,3,7,40,NO APRENDIO,2
642,6,1,25,34,NO APRENDIO,2
643,5,3,4,34,APRENDIO,2
644,1,3,29,4,NO APRENDIO,2
645,4,3,11,49,NO APRENDIO,2
646,3,1,26,21,NO APRENDIO,2
647,1,2,4,2,APRENDIO,2
648,3,1,3,34,NO APRENDIO,2
649,4,2,1,33,NO APRENDIO,2
650,4,2,29,6,NO APRENDIO,2
651,1,1,6,32,NO APRENDIO,2
652,1,1,8,18,NO APRENDIO,2
653,3,3,14,46,NO APRENDIO,2
654,6,2,1,16,APRENDIO,2
655,5,1,25,14,NO APRENDIO,2
656,5,2,28,21,NO APRENDIO,2
657,6,2,19,30,NO APRENDIO,2
658,6,1,26,3,NO APRENDIO,2
659,3,1,5,27,NO APRENDIO,2
660,5,1,10,33,NO APRENDIO,2
661,4,2,17,15,NO APRENDIO,2
662,5,2,2,3,APRENDIO,2
663,5,2,28,9,NO APRENDIO,2
664,2,3,24,17,NO APRENDIO,2
665,6,3,7,15,APRENDIO,2
666,4,2,17,17,NO APRENDIO,2
667,6,3,9,10,APRENDIO,2
668,2,3,11,27,NO APRENDIO,2
669,3,1,25,13,NO APRENDIO,2
670,5,3,11,17,NO APRENDIO,2
671,4,2,20,15,NO APRENDIO,2
672,3,2,12,8,NO APRENDIO,2
673,3,1,28,38,NO APRENDIO,2
