grade,game,level,moves,time,result_test,result_game,time_per_move,move_efficiency
Fourth Grade,Hanoi,2,8,33,Failed,Failed,4.125,1.6
Sixth Grade,Hanoi,2,27,30,Failed,Failed,1.1111111111111112,5.4
Second Grade,Hanoi,2,22,35,Failed,Failed,1.5909090909090908,4.4
Fourth Grade,Hanoi,1,18,24,Failed,Failed,1.3333333333333333,4.5
First Grade,Hanoi,2,19,38,Failed,Failed,2.0,3.8
Second Grade,Hanoi,2,16,18,Failed,Failed,1.125,3.2
Sixth Grade,Hanoi,1,18,23,Failed,Failed,1.2777777777777777,4.5
Fourth Grade,Hanoi,2,21,44,Failed,Failed,2.0952380952380953,4.2
Sixth Grade,Hanoi,1,11,29,Failed,Failed,2.6363636363636362,2.75
First Grade,Hanoi,3,17,31,Failed,Failed,1.8235294117647058,1.8888888888888888
Sixth Grade,Hanoi,1,14,25,Failed,Failed,1.7857142857142858,3.5
Fourth Grade,Hanoi,3,17,36,Failed,Failed,2.1176470588235294,1.8888888888888888
First Grade,Hanoi,1,5,10,Failed,Failed,2.0,1.25
Second Grade,Hanoi,2,18,47,Failed,Failed,2.611111111111111,3.6
Sixth Grade,Hanoi,1,3,48,Failed,Failed,16.0,0.75
Sixth Grade,Hanoi,1,4,23,Failed,Failed,5.75,1.0
Sixth Grade,Hanoi,3,17,24,Failed,Failed,1.411764705882353,1.8888888888888888
Sixth Grade,Hanoi,2,12,28,Failed,Failed,2.3333333333333335,2.4
Fourth Grade,Hanoi,2,10,29,Failed,Failed,2.9,2.0
Fourth Grade,Hanoi,1,16,45,Failed,Failed,2.8125,4.0
Fourth Grade,Hanoi,2,16,43,Failed,Failed,2.6875,3.2
Sixth Grade,Hanoi,1,28,46,Failed,Failed,1.6428571428571428,7.0
Fourth Grade,Hanoi,1,14,27,Failed,Failed,1.9285714285714286,3.5
Fourth Grade,Hanoi,1,21,46,Failed,Failed,2.1904761904761907,5.25
Third Grade,Hanoi,2,7,30,Failed,Failed,4.285714285714286,1.4
Sixth Grade,Hanoi,1,9,45,Failed,Failed,5.0,2.25
First Grade,Hanoi,3,16,38,Failed,Failed,2.375,1.7777777777777777
Second Grade,Hanoi,1,5,29,Failed,Failed,5.8,1.25
Fifth Grade,Hanoi,2,14,50,Failed,Failed,3.5714285714285716,2.8
Fourth Grade,Hanoi,3,22,35,Failed,Failed,1.5909090909090908,2.4444444444444446
Third Grade,Hanoi,1,3,38,Failed,Failed,12.666666666666666,0.75
Fourth Grade,Hanoi,3,23,34,Failed,Failed,1.4782608695652173,2.5555555555555554
Second Grade,Hanoi,2,20,48,Failed,Failed,2.4,4.0
Third Grade,Hanoi,1,29,36,Failed,Failed,1.2413793103448276,7.25
Fifth Grade,Hanoi,2,23,49,Failed,Failed,2.130434782608696,4.6
First Grade,Hanoi,1,22,26,Failed,Failed,1.1818181818181819,5.5
First Grade,Hanoi,2,26,33,Failed,Failed,1.2692307692307692,5.2
Second Grade,Hanoi,1,14,45,Failed,Failed,3.2142857142857144,3.5
Second Grade,Hanoi,2,26,37,Failed,Failed,1.4230769230769231,5.2
Second Grade,Hanoi,2,11,13,Failed,Failed,1.1818181818181819,2.2
Third Grade,Hanoi,1,8,19,Failed,Failed,2.375,2.0
Fifth Grade,Hanoi,1,6,45,Failed,Failed,7.5,1.5
Fifth Grade,Hanoi,1,6,17,Failed,Failed,2.8333333333333335,1.5
Fifth Grade,Hanoi,2,23,36,Failed,Failed,1.565217391304348,4.6
Fourth Grade,Hanoi,3,27,46,Failed,Failed,1.7037037037037037,3.0
Fifth Grade,Hanoi,3,30,48,Failed,Failed,1.6,3.3333333333333335
Third Grade,Hanoi,2,29,42,Failed,Failed,1.4482758620689655,5.8
Second Grade,Hanoi,1,5,38,Failed,Failed,7.6,1.25
First Grade,Hanoi,2,17,36,Failed,Failed,2.1176470588235294,3.4
Fourth Grade,Hanoi,3,28,39,Failed,Failed,1.3928571428571428,3.111111111111111
Second Grade,Hanoi,2,8,43,Failed,Failed,5.375,1.6
Second Grade,Hanoi,3,30,47,Failed,Failed,1.5666666666666667,3.3333333333333335
Fourth Grade,Hanoi,1,8,42,Failed,Failed,5.25,2.0
Second Grade,Hanoi,1,29,35,Failed,Failed,1.206896551724138,7.25
Second Grade,Hanoi,2,27,39,Failed,Failed,1.4444444444444444,5.4
First Grade,Hanoi,3,19,21,Failed,Failed,1.105263157894737,2.111111111111111
Third Grade,Hanoi,3,29,36,Failed,Failed,1.2413793103448276,3.2222222222222223
Second Grade,Hanoi,1,10,22,Failed,Failed,2.2,2.5
Sixth Grade,Hanoi,2,29,42,Failed,Failed,1.4482758620689655,5.8
First Grade,Hanoi,2,17,50,Failed,Failed,2.9411764705882355,3.4
Second Grade,Hanoi,2,9,45,Failed,Failed,5.0,1.8
Sixth Grade,Hanoi,3,30,37,Failed,Failed,1.2333333333333334,3.3333333333333335
Second Grade,Hanoi,1,16,41,Failed,Failed,2.5625,4.0
Fourth Grade,Hanoi,1,6,39,Failed,Failed,6.5,1.5
Fourth Grade,Hanoi,1,24,27,Failed,Failed,1.125,6.0
Sixth Grade,Hanoi,1,5,49,Failed,Failed,9.8,1.25
Fourth Grade,Hanoi,1,28,36,Failed,Failed,1.2857142857142858,7.0
First Grade,Hanoi,2,22,37,Failed,Failed,1.6818181818181819,4.4
First Grade,Hanoi,2,25,25,Failed,Failed,1.0,5.0
Second Grade,Hanoi,3,17,47,Failed,Failed,2.764705882352941,1.8888888888888888
Fourth Grade,Hanoi,3,22,36,Failed,Failed,1.6363636363636365,2.4444444444444446
Fourth Grade,Hanoi,3,15,40,Failed,Failed,2.6666666666666665,1.6666666666666667
Third Grade,Hanoi,1,16,40,Failed,Failed,2.5,4.0
Second Grade,Hanoi,1,27,47,Failed,Failed,1.7407407407407407,6.75
Fifth Grade,Hanoi,2,9,15,Failed,Failed,1.6666666666666667,1.8
Third Grade,Hanoi,2,10,43,Failed,Failed,4.3,2.0
Third Grade,Hanoi,3,28,29,Failed,Failed,1.0357142857142858,3.111111111111111
Sixth Grade,Hanoi,1,10,32,Failed,Failed,3.2,2.5
First Grade,Hanoi,2,9,11,Failed,Failed,1.2222222222222223,1.8
Second Grade,Hanoi,1,8,37,Failed,Failed,4.625,2.0
Third Grade,Hanoi,1,9,12,Failed,Failed,1.3333333333333333,2.25
Third Grade,Hanoi,1,11,22,Failed,Failed,2.0,2.75
Sixth Grade,Hanoi,2,20,46,Failed,Failed,2.3,4.0
Third Grade,Hanoi,2,25,39,Failed,Failed,1.56,5.0
Fifth Grade,Hanoi,1,9,10,Failed,Failed,1.1111111111111112,2.25
Second Grade,Hanoi,1,23,28,Failed,Failed,1.2173913043478262,5.75
Second Grade,Hanoi,3,25,27,Failed,Failed,1.08,2.7777777777777777
Sixth Grade,Hanoi,3,28,37,Failed,Failed,1.3214285714285714,3.111111111111111
Fourth Grade,Hanoi,1,23,49,Failed,Failed,2.130434782608696,5.75
Fourth Grade,Hanoi,2,11,39,Failed,Failed,3.5454545454545454,2.2
Second Grade,Hanoi,2,22,46,Failed,Failed,2.090909090909091,4.4
Third Grade,Hanoi,1,10,31,Failed,Failed,3.1,2.5
Second Grade,Hanoi,2,13,45,Failed,Failed,3.4615384615384617,2.6
Second Grade,Hanoi,2,17,43,Failed,Failed,2.5294117647058822,3.4
Third Grade,Hanoi,1,14,23,Failed,Failed,1.6428571428571428,3.5
Sixth Grade,Hanoi,3,16,17,Failed,Failed,1.0625,1.7777777777777777
Second Grade,Hanoi,3,27,41,Failed,Failed,1.5185185185185186,3.0
Third Grade,Hanoi,2,15,50,Failed,Failed,3.3333333333333335,3.0
Fourth Grade,Hanoi,1,19,30,Failed,Failed,1.5789473684210527,4.75
Sixth Grade,Hanoi,1,6,35,Failed,Failed,5.833333333333333,1.5
Sixth Grade,Hanoi,2,27,37,Failed,Failed,1.3703703703703705,5.4
Third Grade,Hanoi,1,29,43,Failed,Failed,1.4827586206896552,7.25
Third Grade,Hanoi,1,14,21,Failed,Failed,1.5,3.5
Sixth Grade,Hanoi,1,3,12,Passed,Failed,4.0,0.75
First Grade,Hanoi,1,20,22,Failed,Failed,1.1,5.0
First Grade,Hanoi,1,24,45,Failed,Failed,1.875,6.0
Third Grade,Hanoi,1,7,12,Failed,Failed,1.7142857142857142,1.75
First Grade,Hanoi,3,28,42,Failed,Failed,1.5,3.111111111111111
Fourth Grade,Hanoi,1,11,22,Failed,Failed,2.0,2.75
Fourth Grade,Hanoi,2,12,35,Failed,Failed,2.9166666666666665,2.4
Fifth Grade,Hanoi,1,15,18,Failed,Failed,1.2,3.75
First Grade,Hanoi,2,24,24,Failed,Failed,1.0,4.8
Third Grade,Hanoi,1,15,43,Failed,Failed,2.8666666666666667,3.75
Fourth Grade,Hanoi,1,19,20,Failed,Failed,1.0526315789473684,4.75
Third Grade,Hanoi,1,7,25,Failed,Failed,3.5714285714285716,1.75
Second Grade,Hanoi,1,21,37,Failed,Failed,1.7619047619047619,5.25
First Grade,Hanoi,1,13,39,Failed,Failed,3.0,3.25
First Grade,Hanoi,2,10,46,Failed,Failed,4.6,2.0
Sixth Grade,Hanoi,3,16,37,Failed,Failed,2.3125,1.7777777777777777
Third Grade,Hanoi,3,16,23,Failed,Failed,1.4375,1.7777777777777777
Fifth Grade,Hanoi,3,26,42,Failed,Failed,1.6153846153846154,2.888888888888889
First Grade,Hanoi,3,27,38,Failed,Failed,1.4074074074074074,3.0
Fifth Grade,Hanoi,3,15,37,Failed,Failed,2.466666666666667,1.6666666666666667
Fourth Grade,Hanoi,1,7,25,Failed,Failed,3.5714285714285716,1.75
Fifth Grade,Hanoi,1,7,46,Failed,Failed,6.571428571428571,1.75
Sixth Grade,Hanoi,2,29,37,Failed,Failed,1.2758620689655173,5.8
First Grade,Hanoi,2,14,39,Failed,Failed,2.7857142857142856,2.8
Sixth Grade,Hanoi,2,28,41,Failed,Failed,1.4642857142857142,5.6
Second Grade,Hanoi,2,7,12,Failed,Failed,1.7142857142857142,1.4
Fourth Grade,Hanoi,1,5,17,Failed,Failed,3.4,1.25
Sixth Grade,Hanoi,2,9,30,Failed,Failed,3.3333333333333335,1.8
Second Grade,Hanoi,1,23,33,Failed,Failed,1.434782608695652,5.75
Fifth Grade,Hanoi,1,11,24,Failed,Failed,2.1818181818181817,2.75
Fifth Grade,Hanoi,2,30,30,Failed,Failed,1.0,6.0
Fourth Grade,Hanoi,1,29,36,Failed,Failed,1.2413793103448276,7.25
Second Grade,Hanoi,1,7,23,Failed,Failed,3.2857142857142856,1.75
Fifth Grade,Hanoi,1,8,12,Failed,Failed,1.5,2.0
Third Grade,Hanoi,1,21,40,Failed,Failed,1.9047619047619047,5.25
First Grade,Hanoi,2,18,36,Failed,Failed,2.0,3.6
Sixth Grade,Hanoi,3,16,43,Failed,Failed,2.6875,1.7777777777777777
Fifth Grade,Hanoi,1,18,42,Failed,Failed,2.3333333333333335,4.5
Second Grade,Hanoi,2,9,39,Failed,Failed,4.333333333333333,1.8
Fourth Grade,Hanoi,1,24,28,Failed,Failed,1.1666666666666667,6.0
Fifth Grade,Hanoi,2,12,31,Failed,Failed,2.5833333333333335,2.4
Fourth Grade,Hanoi,2,29,39,Failed,Failed,1.3448275862068966,5.8
First Grade,Hanoi,1,27,40,Failed,Failed,1.4814814814814814,6.75
Third Grade,Hanoi,2,26,37,Failed,Failed,1.4230769230769231,5.2
Sixth Grade,Hanoi,1,11,46,Failed,Failed,4.181818181818182,2.75
Sixth Grade,Hanoi,1,24,43,Failed,Failed,1.7916666666666667,6.0
First Grade,Hanoi,3,18,46,Failed,Failed,2.5555555555555554,2.0
Fourth Grade,Hanoi,1,9,36,Failed,Failed,4.0,2.25
Second Grade,Hanoi,2,20,43,Failed,Failed,2.15,4.0
First Grade,Hanoi,1,9,43,Failed,Failed,4.777777777777778,2.25
Fourth Grade,Hanoi,3,26,38,Failed,Failed,1.4615384615384615,2.888888888888889
Sixth Grade,Hanoi,2,28,48,Failed,Failed,1.7142857142857142,5.6
Second Grade,Hanoi,1,13,20,Failed,Failed,1.5384615384615385,3.25
Sixth Grade,Hanoi,1,25,27,Failed,Failed,1.08,6.25
Fourth Grade,Hanoi,2,15,22,Failed,Failed,1.4666666666666666,3.0
Sixth Grade,Hanoi,1,6,41,Failed,Failed,6.833333333333333,1.5
Fourth Grade,Hanoi,1,5,13,Failed,Failed,2.6,1.25
Fourth Grade,Hanoi,3,27,38,Failed,Failed,1.4074074074074074,3.0
Second Grade,Hanoi,1,12,34,Failed,Failed,2.8333333333333335,3.0
Sixth Grade,Hanoi,2,10,29,Failed,Failed,2.9,2.0
Fourth Grade,Hanoi,2,15,47,Failed,Failed,3.1333333333333333,3.0
Fifth Grade,Hanoi,3,23,44,Failed,Failed,1.9130434782608696,2.5555555555555554
Third Grade,Hanoi,2,22,43,Failed,Failed,1.9545454545454546,4.4
Sixth Grade,Hanoi,1,25,34,Failed,Failed,1.36,6.25
Third Grade,Hanoi,1,3,34,Failed,Failed,11.333333333333334,0.75
First Grade,Hanoi,1,6,32,Failed,Failed,5.333333333333333,1.5
First Grade,Hanoi,1,8,18,Failed,Failed,2.25,2.0
Sixth Grade,Hanoi,2,19,30,Failed,Failed,1.5789473684210527,3.8
Third Grade,Hanoi,1,5,27,Failed,Failed,5.4,1.25
Fifth Grade,Hanoi,1,10,33,Failed,Failed,3.3,2.5
Fourth Grade,Hanoi,2,17,17,Failed,Failed,1.0,3.4
Third Grade,Hanoi,1,28,38,Failed,Failed,1.3571428571428572,7.0
Fifth Grade,Hanoi,2,9,14,Failed,Failed,1.5555555555555556,1.8
Fourth Grade,Hanoi,3,20,39,Failed,Failed,1.95,2.2222222222222223
Second Grade,Hanoi,1,11,13,Failed,Failed,1.1818181818181819,2.75
Second Grade,Hanoi,1,9,47,Failed,Failed,5.222222222222222,2.25
First Grade,Hanoi,2,15,32,Failed,Failed,2.1333333333333333,3.0
Sixth Grade,Hanoi,3,19,43,Failed,Failed,2.263157894736842,2.111111111111111
Sixth Grade,Hanoi,1,7,15,Failed,Failed,2.142857142857143,1.75
Fifth Grade,Hanoi,2,25,30,Failed,Failed,1.2,5.0
Third Grade,Hanoi,1,5,39,Failed,Failed,7.8,1.25
Third Grade,Hanoi,1,7,37,Failed,Failed,5.285714285714286,1.75
Fifth Grade,Hanoi,1,9,31,Failed,Failed,3.4444444444444446,2.25
Second Grade,Hanoi,2,11,13,Failed,Failed,1.1818181818181819,2.2
Fifth Grade,Hanoi,1,29,46,Failed,Failed,1.5862068965517242,7.25
Third Grade,Hanoi,1,15,31,Failed,Failed,2.066666666666667,3.75
Fourth Grade,Hanoi,3,16,39,Failed,Failed,2.4375,1.7777777777777777
First Grade,Hanoi,1,16,48,Failed,Failed,3.0,4.0
Sixth Grade,Hanoi,3,17,41,Failed,Failed,2.411764705882353,1.8888888888888888
First Grade,Hanoi,1,14,19,Failed,Failed,1.3571428571428572,3.5
Third Grade,Hanoi,3,25,42,Failed,Failed,1.68,2.7777777777777777
Second Grade,Hanoi,2,23,24,Failed,Failed,1.0434782608695652,4.6
First Grade,Hanoi,1,11,39,Failed,Failed,3.5454545454545454,2.75
First Grade,Hanoi,1,12,41,Failed,Failed,3.4166666666666665,3.0
Third Grade,Hanoi,1,23,41,Failed,Failed,1.7826086956521738,5.75
Sixth Grade,Hanoi,3,20,33,Failed,Failed,1.65,2.2222222222222223
Second Grade,Hanoi,1,27,46,Failed,Failed,1.7037037037037037,6.75
Fourth Grade,Hanoi,1,21,49,Failed,Failed,2.3333333333333335,5.25
Fifth Grade,Hanoi,2,14,26,Failed,Failed,1.8571428571428572,2.8
Fifth Grade,Hanoi,1,5,23,Failed,Failed,4.6,1.25
First Grade,Hanoi,3,27,49,Failed,Failed,1.8148148148148149,3.0
Second Grade,Hanoi,1,9,32,Failed,Failed,3.5555555555555554,2.25
First Grade,Hanoi,1,3,33,Failed,Failed,11.0,0.75
Second Grade,Hanoi,1,24,38,Failed,Failed,1.5833333333333333,6.0
Third Grade,Hanoi,2,7,50,Failed,Failed,7.142857142857143,1.4
Fourth Grade,Hanoi,2,10,15,Failed,Failed,1.5,2.0
Fifth Grade,Hanoi,1,25,28,Failed,Failed,1.12,6.25
Fifth Grade,Hanoi,2,21,49,Failed,Failed,2.3333333333333335,4.2
Fifth Grade,Hanoi,1,25,46,Failed,Failed,1.84,6.25
Third Grade,Hanoi,1,19,32,Failed,Failed,1.6842105263157894,4.75
Sixth Grade,Hanoi,3,19,35,Failed,Failed,1.8421052631578947,2.111111111111111
Sixth Grade,Hanoi,2,20,20,Failed,Failed,1.0,4.0
First Grade,Hanoi,1,23,31,Failed,Failed,1.3478260869565217,5.75
Third Grade,Hanoi,2,10,45,Failed,Failed,4.5,2.0
Fifth Grade,Hanoi,1,4,38,Failed,Failed,9.5,1.0
Third Grade,Hanoi,3,20,42,Failed,Failed,2.1,2.2222222222222223
Third Grade,Hanoi,1,16,17,Failed,Failed,1.0625,4.0
